route_id,train_id,actual_departure,actual_arrival,trip_id,departure_delay,arrival_delay
11,19,2023-09-05 09:54:00,2023-09-05 13:30:00,62,23,14
12,13,2023-09-18 11:11:00,2023-09-18 14:59:00,63,100,103
1,18,2023-12-21 12:03:00,2023-12-21 17:17:00,64,8,14
20,11,2023-07-23 05:55:00,2023-07-23 18:12:00,65,33,31
8,6,2023-07-03 10:38:00,2023-07-03 14:17:00,66,2,1
1,9,2023-01-31 12:49:00,2023-01-31 17:58:00,67,54,55
9,6,2023-05-16 06:51:00,2023-05-16 17:55:00,68,1,6
18,6,2023-07-06 08:27:00,2023-07-06 13:58:00,69,3,3
15,12,2023-12-18 05:29:00,2023-12-18 19:35:00,70,4,-2
10,16,2023-04-02 06:55:00,2023-04-02 18:50:00,71,5,61
8,17,2023-10-13 10:41:00,2023-10-13 14:48:00,72,5,32
15,8,2023-11-12 06:44:00,2023-11-12 21:40:00,73,79,123
9,14,2023-11-03 06:55:00,2023-11-03 17:47:00,74,5,-2
19,13,2023-09-03 05:25:00,2023-09-03 17:44:00,75,3,3
10,18,2023-02-25 07:00:00,2023-02-25 18:35:00,76,10,46
5,9,2023-02-17 11:39:00,2023-02-17 15:49:00,77,66,69
17,13,2023-03-01 08:29:00,2023-03-01 14:05:00,78,5,10
16,4,2023-01-31 05:26:00,2023-01-31 20:51:00,79,1,74
2,12,2023-08-14 12:04:00,2023-08-14 17:10:00,80,9,7
20,2,2023-08-29 06:02:00,2023-08-29 18:22:00,81,40,41
16,8,2023-10-30 05:58:00,2023-10-30 20:14:00,82,33,37
11,12,2023-12-21 09:32:00,2023-12-21 13:18:00,83,1,2
20,1,2023-12-08 05:24:00,2023-12-08 17:43:00,84,2,2
1,18,2023-01-26 11:56:00,2023-01-26 17:48:00,85,1,45
19,14,2023-01-10 05:24:00,2023-01-10 17:42:00,86,2,1
1,8,2023-06-23 13:05:00,2023-06-23 19:13:00,87,70,130
17,17,2023-09-23 08:28:00,2023-09-23 13:44:00,88,4,-11
20,1,2023-11-18 05:25:00,2023-11-18 19:03:00,89,3,82
20,17,2023-06-27 05:29:00,2023-06-27 18:30:00,90,7,49
3,10,2023-10-19 06:16:00,2023-10-19 13:02:00,91,1,2
15,7,2023-12-22 05:55:00,2023-12-22 20:03:00,92,30,26
2,8,2023-05-03 12:01:00,2023-05-03 17:11:00,93,6,8
8,4,2023-12-03 10:50:00,2023-12-03 15:06:00,94,14,50
2,5,2023-02-13 11:56:00,2023-02-13 17:04:00,95,1,1
5,8,2023-06-25 10:34:00,2023-06-25 15:09:00,96,1,29
8,19,2023-07-23 10:43:00,2023-07-23 14:23:00,97,7,7
12,13,2023-06-07 09:39:00,2023-06-07 13:17:00,98,8,1
5,13,2023-04-19 11:49:00,2023-04-19 15:58:00,99,76,78
5,17,2023-11-27 10:42:00,2023-11-27 14:53:00,100,9,13
